Temp,k,Ec1,Ecu1,Aggregate,density
25,1,0.0025,0.02,Siliceous,1
100,1,0.004,0.0225,Siliceous,1
200,0.95,0.0055,0.025,Siliceous,0.98
300,0.85,0.007,0.0275,Siliceous,0.965
400,0.75,0.01,0.03,Siliceous,0.95
500,0.6,0.015,0.0325,Siliceous,0.94125
600,0.45,0.025,0.035,Siliceous,0.9325
700,0.3,0.025,0.0375,Siliceous,0.92375
800,0.15,0.025,0.04,Siliceous,0.915
900,0.08,0.025,0.0425,Siliceous,0.90625
1000,0.04,0.025,0.045,Siliceous,0.8975
1100,0.01,0.025,0.0475,Siliceous,0.88875
1200,0,0.025,0.05,Siliceous,0.88
